date,locator,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-03-26,1871,46.2348,6.9573,4,0,0,0,0,1
2020-03-26,1277,46.377,6.1845,0,1,0,0,0,0
2020-03-26,1294,46.2648,6.1576,5,0,0,0,0,0
2020-03-26,2712,47.2442,7.1846,1,0,0,0,0,0
2020-03-26,1121,46.5467,6.5177,2,0,0,0,0,0
2020-03-26,4500,47.2084,7.5397,4,0,0,0,0,0
2020-03-26,2518,47.1123,7.0803,1,0,0,0,0,0
2020-03-26,1852,46.3617,6.9304,2,0,1,0,0,0
2020-03-26,1867,46.3003,6.9957,1,0,0,0,0,0
2020-03-26,3123,46.8909,7.5005,0,0,0,0,0,1
2020-03-26,1808,46.4995,6.8768,2,0,0,0,0,0
2020-03-26,1063,46.6691,6.7285,3,0,0,0,0,0
2020-03-26,3098,46.9202,7.4216,1,0,0,0,0,0
2020-03-26,4056,47.5695,7.5735,1,0,0,0,0,0
2020-03-26,1474,46.8262,6.8094,3,0,0,0,0,0
2020-03-26,1302,46.577,6.5389,5,1,1,0,0,0
2020-03-26,1619,46.5227,6.9441,2,0,0,0,0,0
2020-03-26,1246,46.2625,6.2262,4,0,1,2,0,1
2020-03-26,1728,46.72,7.1007,2,0,0,0,0,0
2020-03-26,2746,47.2842,7.4391,1,0,0,0,0,0
2020-03-26,1128,46.5424,6.4397,1,0,0,0,0,0
2020-03-26,1182,46.4592,6.3003,1,0,0,0,0,0
2020-03-26,1608,46.5772,6.8471,4,0,0,0,0,0
2020-03-26,1376,46.6585,6.594,2,0,0,0,0,0
2020-03-26,1653,46.6161,7.1337,1,0,0,0,0,0
2020-03-26,2903,47.3879,7.0808,1,0,0,0,0,0
2020-03-26,1972,46.2962,7.3966,2,0,0,0,0,0
2020-03-26,2882,47.3426,7.1327,1,0,0,0,0,0
2020-03-26,4442,47.4444,7.8364,1,0,0,0,0,0
2020-03-26,2824,47.3472,7.4131,1,0,0,0,0,0
2020-03-26,1927,46.0897,7.0972,1,0,0,0,0,0
2020-03-26,1884,46.2926,7.0487,2,0,0,0,0,0
2020-03-26,1163,46.4861,6.4206,2,0,0,1,0,0
2020-03-26,8847,47.1613,8.7806,1,0,0,0,0,0
2020-03-26,1925,46.0702,6.9654,1,0,0,0,0,0
2020-03-26,4310,47.5542,7.7927,1,0,0,0,0,0
2020-03-26,2108,46.925,6.6326,2,0,0,0,0,0
2020-03-26,1212,46.1824,6.121,13,1,1,0,0,0
2020-03-26,1895,46.309,6.8996,4,0,0,0,0,0
2020-03-26,2852,47.3404,7.3159,1,0,0,0,0,0
2020-03-26,3622,46.7769,7.6838,1,0,0,0,0,0
2020-03-26,1188,46.5114,6.2861,2,0,0,0,0,0
2020-03-26,6043,47.0706,8.3651,1,0,0,0,0,0
2020-03-26,1586,46.9318,7.0387,1,0,0,0,0,0
2020-03-26,8602,47.4095,8.6465,1,0,0,0,0,0
2020-03-26,1322,46.6943,6.4767,1,0,0,0,0,0
2020-03-26,1963,46.2237,7.2786,2,0,0,0,0,1
2020-03-26,1407,46.7401,6.7139,2,0,0,0,0,0
2020-03-26,1068,46.5342,6.6834,1,1,0,0,0,0
2020-03-26,1220,46.2208,6.1089,5,0,1,0,0,0
2020-03-26,2022,46.9308,6.8156,2,0,0,0,0,0
2020-03-26,2520,47.0645,7.0971,1,0,0,0,0,0
2020-03-26,1744,46.7397,7.0025,1,0,0,0,0,0
2020-03-26,7742,46.372,10.0706,1,0,0,0,0,0
2020-03-26,1527,46.746,6.8686,0,1,0,0,0,0
2020-03-26,1169,46.5186,6.4172,1,0,0,0,0,0
2020-03-26,2720,47.2219,7.1263,1,0,0,0,0,0
2020-03-26,1624,46.5908,6.923,1,0,0,0,0,0
2020-03-26,2830,47.3293,7.3746,1,0,0,0,0,0
2020-03-26,1580,46.87,7.0456,3,0,0,0,0,0
2020-03-26,1293,46.2538,6.1533,7,1,1,0,0,0
2020-03-26,1514,46.6867,6.8111,1,0,0,0,0,0
2020-03-26,4053,47.5383,7.601,2,0,0,0,0,0
2020-03-26,1903,46.1716,7.0339,1,0,0,0,0,0
2020-03-26,1522,46.7074,6.8231,4,0,1,1,0,0
2020-03-26,2088,47.051,7.0357,1,0,0,0,0,0
2020-03-26,1142,46.5816,6.4289,1,0,0,0,0,0
2020-03-26,1937,46.0311,7.1462,1,0,0,0,0,0
2020-03-26,8125,47.348,8.6023,1,0,0,0,0,0
2020-03-26,8706,47.2681,8.6399,2,0,0,0,0,0
2020-03-26,1044,46.6761,6.6812,0,1,0,0,0,0
2020-03-26,1148,46.6291,6.425,2,0,0,0,0,0
2020-03-26,1145,46.5382,6.3334,1,1,0,0,0,0
2020-03-26,2338,47.2391,6.9821,1,0,0,0,0,0
2020-03-26,1029,46.5665,6.5606,4,0,0,0,0,0
2020-03-26,8038,47.3408,8.5321,3,0,0,0,0,0
2020-03-26,5312,47.5701,8.2587,1,0,0,0,0,0
2020-03-26,6405,47.0957,8.4615,1,0,0,0,0,0
2020-03-26,3920,46.0195,7.7467,1,0,0,0,0,1
2020-03-26,1485,46.7841,6.8306,2,0,0,0,0,0
2020-03-26,1034,46.6037,6.5828,1,0,0,0,0,0
2020-03-26,1649,46.7001,7.111,1,0,0,0,0,0
2020-03-26,1305,46.6143,6.5293,4,0,1,0,0,0
2020-03-26,1132,46.5059,6.4653,2,0,0,0,0,0
2020-03-26,1694,46.7124,6.9997,0,0,1,0,0,0
2020-03-26,8600,47.3951,8.6181,3,0,0,0,0,0
2020-03-26,1801,46.4816,6.8302,3,0,0,0,0,0
2020-03-26,3175,46.8904,7.31,1,0,0,0,0,0
2020-03-26,3506,46.9071,7.6417,1,0,0,0,0,0
2020-03-26,3415,47.01,7.6545,1,0,0,0,0,0
2020-03-26,1248,46.3014,6.2445,1,0,0,0,0,0
2020-03-26,6038,47.13,8.4027,1,0,0,0,0,0
2020-03-26,1283,46.1868,5.9975,2,0,0,0,0,0
2020-03-26,1564,46.8648,7.0154,1,0,0,0,0,0
2020-03-26,5430,47.4678,8.3305,1,0,0,0,0,0
2020-03-26,1232,46.174,6.0845,1,0,0,0,0,1
2020-03-26,1406,46.7571,6.6964,1,0,0,0,0,0
